Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,BBI_Wkts,BBI_Runs
JH Davey (SCOT),2022-2022,3.0,3.0,60.0,10.0,,96.0,3.0,32.0,9.6,20.0,,,16.0,
Aayan Afzal Khan (UAE),2022-2022,3.0,3.0,48.0,8.0,,38.0,2.0,19.0,4.75,24.0,,,15.0,
RE van der Merwe (NED),2022-2022,6.0,6.0,66.0,11.0,,75.0,2.0,37.5,6.81,33.0,,,6.0,
B Fernando (SL),2022-2022,3.0,3.0,53.0,8.5,,65.0,2.0,32.5,7.35,26.5,,,27.0,
AJ Hosein (WI),2022-2022,3.0,3.0,72.0,12.0,,94.0,2.0,47.0,7.83,36.0,,,25.0,
B Evans (ZIM),2022-2022,2.0,2.0,42.0,7.0,,57.0,2.0,28.5,8.14,21.0,,,25.0,
SM Sharif (SCOT),2022-2022,3.0,3.0,54.0,9.0,,78.0,2.0,39.0,8.66,27.0,,,23.0,
Mosaddek Hossain (BAN),2022-2022,5.0,3.0,42.0,7.0,,64.0,2.0,32.0,9.14,21.0,,,,34.0
C Campher (IRE),2022-2022,7.0,4.0,48.0,8.0,,74.0,2.0,37.0,9.25,24.0,,,9.0,
K Rabada (SA),2022-2022,5.0,5.0,96.0,16.0,,151.0,2.0,75.5,9.43,48.0,,,24.0,
OF Smith (WI),2022-2022,3.0,3.0,54.0,9.0,,85.0,2.0,42.5,9.44,27.0,,,31.0,
LM Jongwe (ZIM),2022-2022,6.0,3.0,30.0,5.0,,59.0,2.0,29.5,11.8,15.0,,,10.0,
Nasum Ahmed (BAN),2022-2022,1.0,1.0,24.0,4.0,,14.0,1.0,14.0,3.5,24.0,,,14.0,
CN Ackermann (NED),2022-2022,8.0,3.0,42.0,7.0,,37.0,1.0,37.0,5.28,42.0,,,17.0,
AC Agar (AUS),2022-2022,1.0,1.0,24.0,4.0,,25.0,1.0,25.0,6.25,24.0,,,25.0,
AK Markram (SA),2022-2022,5.0,2.0,18.0,3.0,,21.0,1.0,21.0,7.0,18.0,,,16.0,
GH Dockrell (IRE),2022-2022,7.0,4.0,48.0,8.0,,56.0,1.0,56.0,7.0,48.0,,,5.0,
Iftikhar Ahmed (PAK),2022-2022,7.0,2.0,23.0,3.5,,28.0,1.0,28.0,7.3,23.0,,,15.0,
OC McCoy (WI),2022-2022,3.0,3.0,57.0,9.3,,71.0,1.0,71.0,7.47,57.0,,,19.0,
MD Shanaka (SL),2022-2022,8.0,3.0,19.0,3.1,,24.0,1.0,24.0,7.57,19.0,,,7.0,
Adjust:Most recentPast weekPast MonthPast year4 years10 years25 years,,,,,,,,,,,,,,,
