Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Gulbadin Naib,2.0,2.0,0.0,51.0,39.0,25.5,37.0,137.83,0.0,0.0,0.0,3.0,2.0
SJ Myburgh,3.0,3.0,0.0,51.0,37.0,17.0,48.0,106.25,0.0,0.0,0.0,8.0,1.0
TJG Pringle,6.0,6.0,1.0,51.0,20.0,10.2,58.0,87.93,0.0,0.0,0.0,1.0,1.0
Soumya Sarkar,4.0,4.0,0.0,49.0,20.0,12.25,39.0,125.64,0.0,0.0,1.0,3.0,3.0
SJ Baard,3.0,3.0,0.0,49.0,26.0,16.33,52.0,94.23,0.0,0.0,0.0,3.0,0.0
CS MacLeod,3.0,3.0,0.0,48.0,25.0,16.0,43.0,111.62,0.0,0.0,1.0,5.0,0.0
V Aravind,3.0,3.0,0.0,48.0,21.0,16.0,71.0,67.6,0.0,0.0,0.0,3.0,0.0
PA van Meekeren,8.0,4.0,1.0,45.0,24.0,15.0,27.0,166.66,0.0,0.0,1.0,6.0,1.0
CP Rizwan,3.0,3.0,1.0,45.0,43.0,22.5,34.0,132.35,0.0,0.0,0.0,3.0,1.0
RW Chakabva,8.0,8.0,0.0,45.0,15.0,5.62,64.0,70.31,0.0,0.0,3.0,5.0,1.0
DA Warner,4.0,4.0,0.0,44.0,25.0,11.0,41.0,107.31,0.0,0.0,0.0,6.0,0.0
Shakib Al Hasan,5.0,5.0,0.0,44.0,23.0,8.8,46.0,95.65,0.0,0.0,1.0,3.0,0.0
JO Holder,3.0,2.0,0.0,42.0,38.0,21.0,36.0,116.66,0.0,0.0,0.0,4.0,1.0
E Lewis,3.0,3.0,0.0,42.0,15.0,14.0,49.0,85.71,0.0,0.0,0.0,2.0,1.0
Nurul Hasan,5.0,5.0,1.0,41.0,25.0,10.25,42.0,97.61,0.0,0.0,1.0,2.0,1.0
JJ Smit,3.0,3.0,2.0,39.0,31.0,39.0,23.0,169.56,0.0,0.0,0.0,3.0,2.0
R Powell,3.0,3.0,0.0,39.0,28.0,13.0,35.0,111.42,0.0,0.0,0.0,2.0,2.0
Mosaddek Hossain,5.0,5.0,1.0,38.0,20.0,9.5,39.0,97.43,0.0,0.0,1.0,2.0,2.0
H Klaasen,2.0,2.0,0.0,36.0,21.0,18.0,27.0,133.33,0.0,0.0,0.0,3.0,1.0
BJ McCarthy,7.0,5.0,3.0,36.0,22.0,18.0,33.0,109.09,0.0,0.0,0.0,1.0,2.0
KR Mayers,3.0,3.0,0.0,34.0,20.0,11.33,30.0,113.33,0.0,0.0,0.0,5.0,1.0
MA Leask,3.0,3.0,1.0,33.0,17.0,16.5,28.0,117.85,0.0,0.0,0.0,4.0,0.0
M van Lingen,3.0,3.0,0.0,33.0,20.0,11.0,33.0,100.0,0.0,0.0,0.0,4.0,0.0
MH Cross,3.0,3.0,0.0,32.0,28.0,10.66,33.0,96.96,0.0,0.0,0.0,5.0,0.0
C Karunaratne,7.0,6.0,2.0,32.0,14.0,8.0,38.0,84.21,0.0,0.0,1.0,3.0,0.0
Basil Hameed,3.0,3.0,1.0,31.0,25.0,15.5,24.0,129.16,0.0,0.0,0.0,3.0,2.0
Najibullah Zadran,3.0,3.0,0.0,31.0,18.0,10.33,29.0,106.89,0.0,0.0,1.0,1.0,1.0
T Stubbs,4.0,3.0,0.0,31.0,18.0,10.33,31.0,100.0,0.0,0.0,0.0,2.0,1.0
MR Adair,7.0,5.0,0.0,28.0,11.0,5.6,31.0,90.32,0.0,0.0,1.0,1.0,1.0
MJ Santner,5.0,3.0,2.0,27.0,16.0,27.0,16.0,168.75,0.0,0.0,1.0,0.0,2.0
TH David,3.0,2.0,1.0,26.0,15.0,26.0,18.0,144.44,0.0,0.0,0.0,2.0,1.0
Chirag Suri,2.0,2.0,0.0,26.0,14.0,13.0,39.0,66.66,0.0,0.0,0.0,4.0,0.0
Shariz Ahmad,2.0,2.0,1.0,25.0,16.0,25.0,19.0,131.57,0.0,0.0,0.0,3.0,0.0
OF Smith,3.0,3.0,2.0,25.0,19.0,25.0,22.0,113.63,0.0,0.0,0.0,1.0,2.0
R Trumpelmann,1.0,1.0,1.0,25.0,25.0,0.0,24.0,104.16,0.0,0.0,0.0,1.0,1.0
N Pooran,3.0,3.0,0.0,25.0,13.0,8.33,29.0,86.2,0.0,0.0,0.0,0.0,1.0
PW Hasaranga,8.0,6.0,1.0,25.0,9.0,5.0,34.0,73.52,0.0,0.0,0.0,2.0,0.0
