Player,Overs,Mdns,Runs conceded,Wickets taken,Econ,Team,Innings in match,Opposition,Ground,Match Date,Scorecard
HH Pandya,3.0,,16.0,2.0,5.33,India,2.0,v Zimbabwe,Melbourne,2022-11-06,T20I # 1873
Basil Hameed,3.0,,17.0,2.0,5.66,U.A.E.,2.0,v Namibia,Geelong,2022-10-20,T20I # 1836
LV van Beek,2.2,,17.0,2.0,7.28,Netherlands,1.0,v Zimbabwe,Adelaide,2022-11-02,T20I # 1859
BM Scholtz,4.0,,18.0,2.0,4.5,Namibia,2.0,v Sri Lanka,Geelong,2022-10-16,T20I # 1823
BFW de Leede,3.0,,18.0,2.0,6.0,Netherlands,1.0,v Namibia,Geelong,2022-10-18,T20I # 1830
AR Patel,4.0,,18.0,2.0,4.5,India,2.0,v Netherlands,Sydney,2022-10-27,T20I # 1848
R Ngarava,4.0,,18.0,2.0,4.5,Zimbabwe,2.0,v Netherlands,Adelaide,2022-11-02,T20I # 1859
BA Stokes,4.0,,19.0,2.0,4.75,England,1.0,v Afghanistan,Perth,2022-10-22,T20I # 1840
M Theekshana,4.0,,19.0,2.0,4.75,Sri Lanka,1.0,v Ireland,Hobart,2022-10-23,T20I # 1841
A Zampa,4.0,,19.0,2.0,4.75,Australia,2.0,v Ireland,Brisbane,2022-10-31,T20I # 1855
Zahoor Khan,4.0,,20.0,2.0,5.0,U.A.E.,2.0,v Namibia,Geelong,2022-10-20,T20I # 1836
L Ngidi,2.0,,20.0,2.0,10.0,South Africa,1.0,v Zimbabwe,Hobart,2022-10-24,T20I # 1844
FJ Klaassen,4.0,,20.0,2.0,5.0,Netherlands,2.0,v South Africa,Adelaide,2022-11-06,T20I # 1871
PA van Meekeren,4.0,,21.0,2.0,5.25,Netherlands,1.0,v Bangladesh,Hobart,2022-10-24,T20I # 1843
R Ashwin,4.0,,21.0,2.0,5.25,India,2.0,v Netherlands,Sydney,2022-10-27,T20I # 1848
MJ Santner,4.0,,21.0,2.0,5.25,New Zealand,2.0,v Sri Lanka,Sydney,2022-10-29,T20I # 1850
IS Sodhi,3.2,,21.0,2.0,6.3,New Zealand,2.0,v Sri Lanka,Sydney,2022-10-29,T20I # 1850
JB Little,4.0,,21.0,2.0,5.25,Ireland,1.0,v Australia,Brisbane,2022-10-31,T20I # 1855
B Shikongo,3.0,1.0,22.0,2.0,7.33,Namibia,2.0,v Sri Lanka,Geelong,2022-10-16,T20I # 1823
